timestamp,open,high,low,close,volume,EMA_9,SMA_5,SMA_10,SMA_15,SMA_30,RSI,MACD,MACD_signal,predictions
2023-03-08,22198.56,22287.0,21580.0,21705.44,301460.57272,21705.44,,,,,,0.0,0.0,53464.45
2023-03-09,21704.37,21834.99,20042.72,20362.22,443658.28584,20998.48210526316,,,,,,-107.15145299145296,-21.4302905982906,53464.45
2023-03-10,20362.21,20367.78,19549.09,20150.69,618456.4671,20685.6436900369,,,,,,-206.755110429298,-58.49525456449207,53417.81
2023-03-11,20150.69,20686.51,19765.03,20455.73,427831.82133,20618.788880488515,,,,,,-258.10230516915544,-98.41666468542476,31249.582
2023-03-12,20455.73,22150.0,20270.6,21997.11,430944.94288,20955.3670152133,20934.238,,,,,-172.4311636671191,-113.21956448176364,28932.732
2023-03-13,21998.05,24500.0,21813.88,24113.48,687889.31259,21629.372420036747,21415.846,,,,,65.48236501587235,-77.47917858223644,28932.732
2023-03-14,24112.27,26386.87,23976.42,24670.41,699360.93423,22212.278210698765,22277.484,,,,,295.5630799097744,-2.8707268838342728,29654.441
2023-03-15,24670.41,25196.97,23896.95,24285.66,581450.72984,22576.32780111853,23104.478000000003,,,,,441.76520035474095,86.05645856388078,29654.441
2023-03-16,24285.66,25167.4,24123.0,24998.78,439421.32998,22971.77886589981,24013.088,,,,,608.1637254856432,190.47791194823327,30153.652
2023-03-17,24998.78,27756.84,24890.0,27395.13,624460.68091,23650.91362919236,25092.692,23013.465,,,,922.7641229473412,336.93515414805483,25894.496
2023-03-18,27395.13,27724.85,26578.0,26907.49,371238.97174,24125.5021833512,25651.494,23533.67,,,,1119.8300283894423,493.5141289963323,25894.496
2023-03-19,26907.49,28390.1,26827.22,27972.87,372066.99054,24661.668039144803,26311.986,24294.735,,,,1346.4523756345116,664.1017783239681,33231.805
2023-03-20,27972.87,28472.0,27124.47,27717.01,477378.23373,25071.33376659452,26998.256,25051.367,,,,1488.2508257480586,828.9315878087862,33231.805
2023-03-21,27717.01,28438.55,27303.1,28105.47,420929.7422,25464.74793205614,27619.594,25816.341,,,,1613.3746162843418,985.8201935038974,33429.742
